k, S11
  0.1978,   0.0736
  0.3625,   0.0609
  0.5205,   0.0698
  0.6753,   0.0505
  0.8378,   0.0737
  0.9901,   0.0746
  1.1451,   0.0673
  1.3013,   0.0571
  1.4579,   0.0530
  1.6125,   0.0667
  1.7648,   0.0660
  1.9194,   0.0630
  2.0779,   0.0569
  2.2323,   0.0655
  2.3853,   0.0656
  2.5390,   0.0724
  2.6932,   0.0748
  2.8484,   0.0818
  3.0036,   0.0872
  3.1582,   0.0916
  3.3125,   0.1046
  3.4663,   0.1052
  3.6211,   0.1172
  3.7746,   0.1348
  3.9290,   0.1476
