k, S11
  0.1558,   0.0625
  0.3082,   0.0536
  0.4225,   0.0596
  0.5422,   0.0626
  0.6710,   0.0481
  0.7847,   0.0665
  0.9022,   0.0609
  1.0253,   0.0540
  1.1510,   0.0620
  1.2742,   0.0610
  1.3937,   0.0633
  1.5163,   0.0591
  1.6394,   0.0598
  1.7600,   0.0622
  1.8803,   0.0680
  2.0010,   0.0602
  2.1224,   0.0621
  2.2448,   0.0645
  2.3675,   0.0655
  2.4889,   0.0709
  2.6105,   0.0760
  2.7326,   0.0753
  2.8544,   0.0765
  2.9744,   0.0902
  3.0964,   0.0904
